		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010100011   25   21   25   22   21   28   24   24  1.815997 0.986142 SUCCESS  60
010100111   27   24   31   26   17   19   23   34  9.790867 0.280012 SUCCESS  61
010101011   27   25   27   26   28   13   24   22  7.001947 0.536423 SUCCESS  62
010101111   21   23   25   23   33   27   19   20  6.146007 0.630881 SUCCESS  63
010110011   25   14   29   22   19   28   27   22  8.051846 0.428422 SUCCESS  64
010110111   37   18   33   21   23   14   31   25 18.611748 0.017080 SUCCESS  65
010111011   33   34   28   31   24   32   29   21 13.277515 0.102651 SUCCESS  66
010111111   29   27   26   31   34   24   17   24  9.377130 0.311487 SUCCESS  67
011000111   27   32   33   22   25   31   30   20 10.123843 0.256441 SUCCESS  68
011001111   27   25   24   21   25   29   27   24  2.003999 0.980889 SUCCESS  69
011010111   27   25   26   22   27   26   22   25  1.308920 0.995445 SUCCESS  70
011011111   33   21   23   19   23   18   27   28  7.595080 0.473988 SUCCESS  71
011101111   24   27   28   20   16   31   31   20  9.163311 0.328707 SUCCESS  72
011111111   26   20   21   24   24   26   17   18  5.593253 0.692688 SUCCESS  73
100000000   21   24   20   19   26   30   21   24  4.484437 0.810988 SUCCESS  74
100010000   16   19   21   31   29   22   24   27  7.992930 0.434161 SUCCESS  75
100100000   25   19   24   19   20   33   27   22  6.976129 0.539210 SUCCESS  76
100101000   22   20   24   28   29   18   23   21  4.823371 0.776277 SUCCESS  77
100110000   25   18   29   23   23   20   14   21  8.702573 0.368004 SUCCESS  78
100111000   21   20   21   25   23   21   29   27  3.569581 0.893723 SUCCESS  79
101000000   21   32   16   23   23   25   27   31  8.239849 0.410399 SUCCESS  80
101000100   23   32   27   36   29   23   26   26  9.717388 0.285425 SUCCESS  81
101001000   24   23   26   36   21   30   25   25  7.749984 0.458266 SUCCESS  82
101001100   21   24   30   17   31   21   25   26  6.604097 0.579886 SUCCESS  83
101010000   26   30   24   18   25   20   31   32  8.308695 0.403912 SUCCESS  84
101010100   27   22   21   22   24   27   21   26  2.154930 0.975890 SUCCESS  85
101011000   17   27   17   27   21   19   26   18  8.778700 0.361307 SUCCESS  86
101011100   29   32   24   20   27   26   27   27  5.140459 0.742464 SUCCESS  87
101100000   24   29   20   21   22   17   27   26  5.170910 0.739163 SUCCESS  88
101100100   24   26   21   33   22   20   32   30  8.580106 0.378945 SUCCESS  89
101101000   21   27   26   23   25   29   30   27  3.496101 0.899492 SUCCESS  90
101101100   24   19   23   26   25   28   23   19  3.315381 0.913036 SUCCESS  91
101110000   37   23   32   18   25   30   17   28 15.206524 0.055252 SUCCESS  92
101110100   22   25   20   34   25   23   27   20  6.189035 0.626066 SUCCESS  93
101111000   25   29   21   20   25   36   25   29  8.851518 0.354976 SUCCESS  94
101111100   23   11   28   34   23   37   27   31 21.087553 0.006918 FAILURE  95
110000000   22   32   21   19   26   21   17   25  7.348162 0.499576 SUCCESS  96
110000010   37   16   24   23   20   29   31   31 15.215130 0.055095 SUCCESS  97
110000100   30   22   30   21   24   20   20   23  5.120600 0.744612 SUCCESS  98
110001000   13   21   18   25   26   24   25   21  8.363639 0.398779 SUCCESS  99
110001010   25   22   38   34   30   38   22   23 21.496656 0.005939 FAILURE 100
110010000   26   20   21   25   21   30   32   22  5.943441 0.653567 SUCCESS 101
110010010   27   38   25   30   17   25   27   20 12.910116 0.114980 SUCCESS 102
110010100   19   21   26   20   26   22   22   21  3.737724 0.879978 SUCCESS 103
110011000   27   25   25   28   20   26   17   24  4.121010 0.846044 SUCCESS 104
110011010   28   25   18   21   24   18   22   20  5.593253 0.692688 SUCCESS 105
110100000   27   32   21   32   20   19   26   26  7.943944 0.438965 SUCCESS 106
110100010   29   27   33   33   25   23   29   34 12.354053 0.136092 SUCCESS 107
110100100   24   22   29   28   27   22   24   30  3.563623 0.894196 SUCCESS 108
110101000   24   24   20   24   23   28   35   28  6.783493 0.560162 SUCCESS 109
110101010   27   22   25   18   28   23   22   26  3.265071 0.916639 SUCCESS 110
110101100   23   18   25   26   24   28   27   14  7.365373 0.497773 SUCCESS 111
110110000   19   22   23   20   17   27   22   27  5.517126 0.701142 SUCCESS 112
110110010   25   25   21   24   24   11   24   25  8.161073 0.417896 SUCCESS 113
110110100   22   34   32   22   23   28   24   22  7.724166 0.460868 SUCCESS 114
110111000   27   17   35   20   28   27   27   34 13.215951 0.104632 SUCCESS 115
110111010   26   27   20   37   32   26   31   22 12.589718 0.126768 SUCCESS 116
110111100   21   24   17   21   23   30   20   29  6.433306 0.598814 SUCCESS 117
111000000   23   32   22   20   24   23   18   21  5.907694 0.657571 SUCCESS 118
111000010   27   24   23   27   26   23   24   26  0.969987 0.998431 SUCCESS 119
111000100   16   24   25   18   16   26   23   23  8.007494 0.432738 SUCCESS 120
111000110   37   22   33   21   26   21   23   36 16.978644 0.030332 SUCCESS 121
111001000   26   27   25   25   22   27   30   31  4.132264 0.844997 SUCCESS 122
111001010   19   20   21   22   34   28   23   21  7.814858 0.451761 SUCCESS 123
111001100   20   25   26   28   18   18   18   18  8.431161 0.392525 SUCCESS 124
111010000   22   30   22   28   23   17   25   18  6.518039 0.589407 SUCCESS 125
111010010   28   21   20   28   20   23   22   23  3.637103 0.888293 SUCCESS 126
111010100   25   27   26   25   27   22   31   20  3.622540 0.889474 SUCCESS 127
111010110   23   20   20   19   23   28   24   22  3.839669 0.871292 SUCCESS 128
111011000   23   19   25   23   27   29   23   26  2.791093 0.946776 SUCCESS 129
111011010   25   35   32   29   28   28   23   18 11.038699 0.199516 SUCCESS 130
111011100   27   27   32   27   25   24   21   29  4.716792 0.787372 SUCCESS 131
111100000   23   31   22   19   22   31   25   22  5.756763 0.674457 SUCCESS 132
111100010   19   25   29   23   22   37   18   24 10.942712 0.204966 SUCCESS 133
111100100   24   23   25   22   29   34   23   26  5.343025 0.720362 SUCCESS 134
111100110   23   33   26   29   17   23   24   27  6.918537 0.545447 SUCCESS 135
111101000   23   30   25   26   30   18   21   27  5.376124 0.716722 SUCCESS 136
111101010   30   27   24   17   20   22   24   19  6.246628 0.619627 SUCCESS 137
111101100   21   18   24   19   25   22   30   22  5.297349 0.725374 SUCCESS 138
111101110   29   27   27   31   28   24   28   25  4.438099 0.815594 SUCCESS 139
111110000   26   36   27   30   30   22   20   21 10.309198 0.243991 SUCCESS 140
111110010   26   12   25   21   23   33   16   29 14.228780 0.075994 SUCCESS 141
111110100   23   23   24   25   30   20   14   29  7.814858 0.451761 SUCCESS 142
111110110   22   24   29   23   28   24   31   21  4.122334 0.845921 SUCCESS 143
111111000   23   31   32   28   28   25   16   19  9.714740 0.285621 SUCCESS 144
111111010   24   19   23   20   26   17   15   31 10.160252 0.253958 SUCCESS 145
111111100   24   25   23   23   27   33   17   15  9.670387 0.288927 SUCCESS 146
111111110   26   20   21   24   24   26   17   18  5.593253 0.692688 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   24   23   33   26   29   23   21   28  5.351631 0.719417 SUCCESS   0
000000011   26   23   27   28   25   18   20   25  3.612610 0.890276 SUCCESS   1
000000101   21   27   35   24   30   23   22   37 13.928241 0.083655 SUCCESS   2
000000111   29   25   22   32   23   35   20   30 10.597821 0.225545 SUCCESS   3
000001001   23   19   18   19   26   27   36   26 10.493228 0.232099 SUCCESS   4
000001011   22   27   24   29   27   23   19   27  3.325311 0.912317 SUCCESS   5
000001101   20   19   30   25   25   22   28   35  8.969350 0.344888 SUCCESS   6
000001111   28   20   24   33   29   30   15   28 11.028770 0.200074 SUCCESS   7
000010001   24   21   25   20   31   19   34   32 10.765964 0.215316 SUCCESS   8
000010011   25   19   18   17   26   20   25   26  6.355854 0.607437 SUCCESS   9
000010101   27   28   28   24   34   25   25   32  7.777125 0.455539 SUCCESS  10
000010111   22   25   28   27   29   25   27   23  2.377356 0.967205 SUCCESS  11
000011001   21   19   18   28   28   21   29   19  7.178695 0.517481 SUCCESS  12
000011011   21   26   29   18   23   19   19   30  7.111173 0.524687 SUCCESS  13
000011101   26   22   29   28   20   29   25   20  4.350717 0.824176 SUCCESS  14
000011111   18   18   30   25   23   26   16   30  9.322848 0.315797 SUCCESS  15
000100011   27   18   16   24   25   15   25   23  8.872039 0.353205 SUCCESS  16
000100101   24   31   18   25   26   29   30   18  7.672532 0.466094 SUCCESS  17
000100111   26   17   14   18   25   16   23   31 13.676027 0.090610 SUCCESS  18
000101001   28   25   26   33   30   24   19   26  6.487588 0.592785 SUCCESS  19
000101011   27   31   22   17   30   20   23   32  9.375806 0.311592 SUCCESS  20
000101101   26   18   32   24   24   21   13   22 10.542214 0.229011 SUCCESS  21
000101111   24   22   19   26   25   29   24   24  2.519681 0.960807 SUCCESS  22
000110011   25   19   20   32   27   21   20   14 10.694470 0.219619 SUCCESS  23
000110101   28   20   21   23   15   28   33   26  9.476427 0.303711 SUCCESS  24
000110111   22   26   30   18   31   23   25   24  5.367518 0.717669 SUCCESS  25
000111001   23   22   19   20   25   20   27   26  3.611286 0.890383 SUCCESS  26
000111011   19   23   27   30   26   27   24   17  5.654818 0.685834 SUCCESS  27
000111101   24   22   17   22   21   28   14   33 11.567621 0.171563 SUCCESS  28
000111111   27   20   28   28   22   31   18   29  6.927143 0.544513 SUCCESS  29
001000011   17   20   22   15   26   19   18   15 13.944791 0.083216 SUCCESS  30
001000101   18   23   27   21   20   20   19   31  7.313739 0.503192 SUCCESS  31
